Timestamp_UTC,Elapsed_h,Phase,Kind,Cumulative_IPA_loss_g,Cumulative_Water_loss_g,Cumulative_total_loss_g,Al_mass_g,Al_wt_pct,IPA_mass_g,IPA_wt_pct,PG_mass_g,PG_wt_pct,MG_mass_g,MG_wt_pct,Water_mass_g,Water_wt_pct,Source_record,Temperature_C,Rho_observed,Rho_predicted_with_phase_offset,Rho_residual,C_observed,C_predicted_with_phase_offset,C_residual
2026-09-07T09:24:25.855000+00:00,1.266671111111111,1,fitted,0.24452111893967052,2.307589169087755,2.5521102880274253,18.192,1.8227764885008622,36.139478881060334,3.621052793044757,36.384,3.6455529770017243,0.0,0.0,907.3224108309122,90.91061774145265,637.0,22.5228,1005.54,1005.5392740793313,0.0007259206686285324,1540.348,1540.3508609343712,-0.0028609343712560076
2026-09-07T09:26:25.857000+00:00,1.300005,1,fitted,0.2654711791148626,2.355652894915991,2.621124074030854,18.192,1.8229025412361168,36.11852882088514,3.6192039343283557,36.384,3.6458050824722337,0.0,0.0,907.274347105084,90.9120884419633,638.0,22.53539,1005.54,1005.5394210985617,0.000578901438302637,1540.356,1540.3588815815644,-0.0028815815644520626
2026-09-07T09:28:25.859000+00:00,1.333338888888889,1,fitted,0.28642123929005475,2.403716620744227,2.6901378600342816,18.192,1.823028611406741,36.09757876070995,3.6173548198814056,36.384,3.646057222813482,0.0,0.0,907.2262833792557,90.91355934589838,639.0,22.54853,1005.54,1005.5393967184218,0.0006032815781509271,1540.367,1540.3679051379243,-0.0009051379242919211
2026-09-07T09:30:25.861000+00:00,1.3666727777777778,1,fitted,0.30737129946524683,2.451780346572463,2.7591516460377097,18.192,1.823154699016353,36.076628700534755,3.6155054496508443,36.384,3.646309398032706,0.0,0.0,907.1782196534275,90.9150304533001,640.0,22.56065,1005.539,1005.5396933006457,-0.0006933006457074953,1540.375,1540.3750378131672,-3.7813167182321195e-05
2026-09-07T09:32:25.863000+00:00,1.4000066666666668,1,fitted,0.32832135964043896,2.499844072400699,2.8281654320411382,18.192,1.8232808040685704,36.05567864035957,3.6136558235835956,36.384,3.646561608137141,0.0,0.0,907.1301559275993,90.9165017642107,641.0,22.57117,1005.539,1005.5404926898348,-0.0014926898347766837,1540.382,1540.3792140822795,0.002785917720530051
2026-09-07T09:34:25.865000+00:00,1.4333405555555556,1,fitted,0.34927141981563103,2.5479077982289353,2.8971792180445664,18.192,1.8234069265670139,36.03472858018437,3.6118059416265678,36.384,3.6468138531340277,0.0,0.0,907.082092201771,90.91797327867238,642.0,22.58609,1005.539,1005.53991339755,-0.0009133975499935332,1540.4,1540.3914817117056,0.008518288294453669
2026-09-07T09:34:25.865000+00:00,1.4333405555555556,2,between_phases_start,0.34927141981563103,2.5479077982289353,2.8971792180445664,18.192,1.8234069265670139,36.03472858018437,3.6118059416265678,36.384,3.6468138531340277,0.0,0.0,907.082092201771,90.91797327867238,,,,,,,,
2026-09-07T09:53:08.224000+00:00,1.7451069444444445,2,between_phases_end,0.5452138923424925,2.9974399331671298,3.542653825509622,18.192,1.8245873748924528,35.83878610765751,3.594491901028085,36.384,3.6491747497849056,0.0,0.0,906.6325600668329,90.93174597429456,,,,,,,,
2026-09-07T09:53:08.224000+00:00,1.7451069444444445,2,after_addition,0.5452138923424925,2.9974399331671298,3.542653825509622,18.192,1.7975265995315932,35.83878610765751,3.5411813612267866,51.394,5.078170737484976,0.0,0.0,906.6325600668329,89.58312130175663,,,,,,,,
2026-09-07T09:53:08.224000+00:00,1.7451069444444445,2,fitted,0.5452138923424925,2.9974399331671298,3.542653825509622,18.192,1.7975265995315932,35.83878610765751,3.5411813612267866,51.394,5.078170737484976,0.0,0.0,906.6325600668329,89.58312130175663,643.0,22.83602,1006.602,1006.6060924898305,-0.0040924898305547686,1549.199,1549.1819690040784,0.017030995921686554
2026-09-07T09:55:08.226000+00:00,1.7784408333333332,2,fitted,0.5664941542692924,3.032433603234784,3.5989277575040766,18.192,1.7976265538620724,35.817505845730714,3.5392754838058234,51.394,5.078453117259638,0.0,0.0,906.5975663967652,89.58464484507248,644.0,22.84152,1006.607,1006.6082398307465,-0.0012398307464991376,1549.182,1549.1744667801695,0.007533219830520466
2026-09-07T09:57:08.228000+00:00,1.8117747222222222,2,fitted,0.5877744161960923,3.067427273302439,3.655201689498531,18.192,1.7977265193094094,35.79622558380391,3.537369394414371,51.394,5.078735528440401,0.0,0.0,906.5625727266976,89.58616855783582,645.0,22.84765,1006.611,1006.6101753633284,0.0008246366716093689,1549.171,1549.1679102843598,0.0030897156402716064
2026-09-07T09:59:08.230000+00:00,1.845108611111111,2,fitted,0.6090546781228923,3.102420943370093,3.711475621492985,18.192,1.7978264958754588,35.77494532187711,3.535463093017066,51.394,5.0790179710325045,0.0,0.0,906.5275790566299,89.58769244007497,646.0,22.85083,1006.614,1006.6131070495893,0.000892950410730009,1549.155,1549.1569167348764,-0.001916734876431292
2026-09-07T10:01:08.232000+00:00,1.8784425,2,fitted,0.6303349400496921,3.1374146134377474,3.7677495534874397,18.192,1.7979264835620759,35.753665059950315,3.5335565795785358,51.394,5.07930044504119,0.0,0.0,906.4925853865623,89.58921649181819,647.0,22.85172,1006.618,1006.6168121097056,0.0011878902944317815,1549.136,1549.142478666755,-0.00647866675512887
2026-09-07T10:03:08.234000+00:00,1.911776388888889,2,fitted,0.651615201976492,3.172408283505402,3.824023485481894,18.192,1.7980264823711163,35.73238479802351,3.531649854063399,51.394,5.079582950471698,0.0,0.0,906.4575917164946,89.59074071309378,648.0,22.85473,1006.621,1006.619802569133,0.0011974308670232858,1549.124,1549.131227277444,-0.007227277443917046
2026-09-07T10:05:08.236000+00:00,1.9451102777777778,2,fitted,0.6728954639032919,3.2074019535730565,3.8802974174763483,18.192,1.7981264923044353,35.71110453609671,3.5297429164362684,51.394,5.079865487329274,0.0,0.0,906.422598046427,89.59226510393002,649.0,22.8569,1006.625,1006.6230771465551,0.00192285344485299,1549.111,1549.1187115740936,-0.007711574093491436
